squawk,function
0712,Transit (ORCAM) Maastricht
0713,Transit (ORCAM) Maastricht
0714,Transit (ORCAM) Maastricht
0715,Transit (ORCAM) Maastricht
0716,Transit (ORCAM) Maastricht
0717,Transit (ORCAM) Maastricht
0718,Transit (ORCAM) Maastricht
0719,Transit (ORCAM) Maastricht
0720,Transit (ORCAM) Maastricht
0721,Transit (ORCAM) Maastricht
0722,Transit (ORCAM) Maastricht
0723,Transit (ORCAM) Maastricht
0724,Transit (ORCAM) Maastricht
0725,Transit (ORCAM) Maastricht
0726,Transit (ORCAM) Maastricht
0727,Transit (ORCAM) Maastricht
0730,Assigned by CCAMS
0731,Assigned by CCAMS
0732,Assigned by CCAMS
0733,Assigned by CCAMS
0734,Assigned by CCAMS
0735,Assigned by CCAMS
0736,Assigned by CCAMS
0737,Assigned by CCAMS
0738,Assigned by CCAMS
0739,Assigned by CCAMS
0740,Assigned by CCAMS
0741,Assigned by CCAMS
0742,Assigned by CCAMS
0743,Assigned by CCAMS
0744,Assigned by CCAMS
0745,Assigned by CCAMS
0746,Assigned by CCAMS
0747,Assigned by CCAMS
0748,Assigned by CCAMS
0749,Assigned by CCAMS
0750,Assigned by CCAMS
0751,Assigned by CCAMS
0752,Assigned by CCAMS
0753,Assigned by CCAMS
0754,Assigned by CCAMS
0755,Assigned by CCAMS
0756,Assigned by CCAMS
0757,Assigned by CCAMS
0758,Assigned by CCAMS
0759,Assigned by CCAMS
0760,Assigned by CCAMS
0761,Assigned by CCAMS
0762,Assigned by CCAMS
0763,Assigned by CCAMS
0764,Assigned by CCAMS
0765,Assigned by CCAMS
0766,Assigned by CCAMS
0767,Assigned by CCAMS
0770,Transit (ORCAM) Maastricht 
0771,Transit (ORCAM) Maastricht 
0772,Transit (ORCAM) Maastricht 
0773,Transit (ORCAM) Maastricht 
0774,Transit (ORCAM) Maastricht 
0775,Transit (ORCAM) Maastricht 
0776,Transit (ORCAM) Maastricht 
0777,Transit (ORCAM) Maastricht 
1000,IFR GAT flights operating in designated Mode S Airspace
1001,Transit (ORCAM) Spain
1002,Transit (ORCAM) Spain
1003,Transit (ORCAM) Spain
